Capacity,n,BruteForce,BottomUp,TopDown
10,5,0.047,0.026,0.006
20,5,0.049,0.041,0.005
30,5,0.047,0.056,0.005
40,5,0.054,0.081,0.005
50,5,0.053,0.102,0.005
100,5,0.048,0.163,0.006
200,5,0.063,0.398,0.008
300,5,0.078,0.884,0.015
400,5,0.098,1.431,0.023
500,5,0.086,1.755,0.024
600,5,0.081,1.714,0.026
700,5,0.059,1.614,0.018
800,5,0.059,2.324,0.018
900,5,0.052,2.109,0.019
1000,5,0.053,2.704,0.024
1200,5,0.059,3.774,0.028
1400,5,0.058,4.168,0.030
1600,5,0.056,4.780,0.032
1800,5,0.052,5.614,0.031
2000,5,0.059,6.334,0.041
10,10,1.923,0.036,0.009
20,10,2.090,0.066,0.010
30,10,1.951,0.084,0.008
40,10,2.285,0.113,0.011
50,10,2.173,0.139,0.011
100,10,1.967,0.238,0.009
200,10,2.117,0.459,0.012
300,10,2.194,0.792,0.018
400,10,2.039,1.113,0.016
500,10,2.037,1.582,0.021
600,10,1.990,1.981,0.026
700,10,2.045,2.687,0.034
800,10,2.052,3.290,0.044
900,10,1.976,3.729,0.062
1000,10,2.089,4.162,0.066
1200,10,2.244,5.881,0.100
1400,10,2.004,7.127,0.138
1600,10,2.011,8.060,0.183
1800,10,2.160,9.487,0.266
2000,10,1.984,10.936,0.340
10,14,40.873,0.056,0.015
20,14,40.619,0.085,0.015
30,14,39.680,0.113,0.016
40,14,40.348,0.137,0.015
50,14,42.637,0.176,0.015
100,14,41.540,0.318,0.019
200,14,41.073,0.643,0.026
300,14,40.655,1.094,0.027
400,14,41.790,1.580,0.040
500,14,40.018,2.110,0.044
600,14,40.477,2.782,0.077
700,14,40.065,3.418,0.092
800,14,41.268,4.399,0.122
900,14,41.385,4.866,0.162
1000,14,41.682,5.946,0.201
1200,14,42.045,7.614,0.348
1400,14,41.904,9.553,0.561
1600,14,41.092,11.388,0.820
1800,14,41.916,14.273,1.208
2000,14,40.988,15.167,1.479
10,15,87.114,0.057,0.018
20,15,85.957,0.090,0.016
30,15,87.646,0.121,0.021
40,15,87.886,0.156,0.019
50,15,88.536,0.202,0.019
100,15,87.416,0.364,0.019
200,15,86.201,0.806,0.026
300,15,87.005,1.252,0.037
400,15,86.618,1.826,0.053
500,15,87.168,2.474,0.075
600,15,90.516,3.507,0.121
700,15,86.482,3.754,0.141
800,15,86.997,4.899,0.220
900,15,85.332,5.458,0.267
1000,15,84.879,6.341,0.343
1200,15,85.751,8.275,0.577
1400,15,86.303,10.400,0.942
1600,15,83.818,12.263,1.425
1800,15,80.266,13.434,1.892
2000,15,80.542,15.194,2.567
10,20,3249.860,0.069,0.019
20,20,3253.955,0.106,0.020
30,20,3231.642,0.138,0.019
40,20,3199.554,0.181,0.020
50,20,3274.575,0.212,0.023
100,20,3220.015,0.427,0.025
200,20,3221.539,0.885,0.038
300,20,3288.214,1.456,0.057
400,20,3261.080,2.281,0.101
500,20,3235.456,2.944,0.137
600,20,3244.431,3.739,0.210
700,20,3252.834,4.727,0.278
800,20,3242.251,5.465,0.371
900,20,3205.599,6.727,0.544
1000,20,3195.305,7.503,0.719
1200,20,3218.857,9.664,1.273
1400,20,3191.315,12.241,2.084
1600,20,3252.575,15.086,3.248
1800,20,3243.518,16.745,4.722
2000,20,3199.528,18.952,6.370
